State,District,Latitude,Longitude,District code,State name,District name,Male,Female,Population,Literate,Male_Literate,Female_Literate,Workers,Agricultural_Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Literate_Education,Illiterate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,No. of females per 1000 males,Literacy_ratio
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,ARUNACHAL PRADESH,East Kameng,38775,39915,78690,38449,21599,16850,31710,1063,273,12333,652,37136,36,452,23,44247,31763,53752,17922,6960,1029.0,49.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,ARUNACHAL PRADESH,East Siang,50116,49098,99214,62576,34210,28366,40222,3565,493,27854,2289,18254,69,776,30,65119,21543,61993,25334,11802,980.0,63.0
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,ARUNACHAL PRADESH,Kurung Kumey,45318,46758,92076,36606,20258,16348,38044,2947,833,4859,471,51189,43,121,81,53659,42621,64379,20713,6836,1032.0,40.0
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,ARUNACHAL PRADESH,Lohit,76221,69505,145726,83062,48380,34682,60945,7789,786,99020,3846,10684,210,24452,104,91574,52421,94890,35493,15195,912.0,57.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,ARUNACHAL PRADESH,Lower Dibang Valley,28053,26027,54080,31849,18087,13762,22326,3354,233,28915,2247,9213,33,2932,19,33141,14406,35140,13254,5652,928.0,59.0
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,ARUNACHAL PRADESH,Lower Subansiri,41843,41187,83030,54057,29470,24587,30202,1968,435,9551,1482,34402,27,193,13,54034,17273,55258,20305,7412,984.0,65.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,ARUNACHAL PRADESH,Papum Pare,89182,87391,176573,121048,65794,55254,65772,1859,1543,57027,6148,84397,310,4768,139,110815,30360,120592,43812,11856,980.0,69.0
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,ARUNACHAL PRADESH,Tawang,29151,20826,49977,26073,17720,8353,28561,1581,114,11842,787,776,1164,34920,72,19838,19203,30709,13849,5399,714.0,52.0
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,ARUNACHAL PRADESH,Tirap,57604,54371,111975,47974,29313,18661,50169,1811,836,20682,1103,83361,61,778,43,57106,50628,71785,25669,14423,944.0,43.0
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,ARUNACHAL PRADESH,Upper Siang,18699,16621,35320,18195,10723,7472,17644,804,591,5261,411,5643,27,2577,7,20992,11209,21090,8910,5252,889.0,52.0
